meta-date;complaint-title;complaint-title href;readmore
3 Feb, 04:20;Evakuasi ular;https://www.lapor.go.id/laporan/detil/evakuasi-ular-202502031120181738556418176;Evakuasi ular Jl. Putri Junjung Buih Rabu, 01 Januari 2025Pukul : 23.46 WIB
3 Feb, 04:18;Evakuasi anjing;https://www.lapor.go.id/laporan/detil/evakuasi-anjing-202502031118511738556331765;Evakuasi anjing Jl. Kapuas Jl. Kapuas Rabu, 01 Januari 2025Pukul : 21.05 WIB
3 Feb, 04:17;Memerlukan ambulan untuk pengantaran orang sakit;https://www.lapor.go.id/laporan/detil/memerlukan-ambulan-untuk-pengantaran-orang-sakit-202502031117181738556238411;Memerlukan ambulan untuk pengantaran orang sakit Jl. Bakti I Rabu, 01 Januari 2025Pukul : 18.44 WIB
3 Feb, 04:15;Evakuasi ular;https://www.lapor.go.id/laporan/detil/evakuasi-ular-202502031115501738556150926;Evakuasi ular Jl. Bukit Raya XVII A Rabu, 01 Januari 2025Pukul : 18.44 WIB
3 Feb, 04:14;Evakuasi mobil terperosok;https://www.lapor.go.id/laporan/detil/evakuasi-mobil-terperosok-202502031114001738556040766;Evakuasi mobil terperosok  Jl. Bukit Indah Rabu, 01 Januari 2025Pukul : 16.24  WIB
3 Feb, 04:12;Evakuasi sarang tawon;https://www.lapor.go.id/laporan/detil/evakuasi-sarang-tawon-202502031112331738555953727;Evakuasi sarang tawon Jl. Tjilik Riwut sebelah Gereja Sion di samping kimia farma Rabu, 01 Januari 2025Pukul : 16.04 WIB
3 Feb, 04:10;Evakuasi ular;https://www.lapor.go.id/laporan/detil/evakuasi-ular-202502031110531738555853055;Evakuasi ular Jl. Diponegoro Rabu, 01 Januari 2025Pukul : 15.54 WIB
3 Feb, 04:09;Evakuasi mobil terperosok;https://www.lapor.go.id/laporan/detil/evakuasi-mobil-terperosok-202502031109131738555753952;Evakuasi mobil terperosok Jl.  Rabu, 01 Januari 2025Pukul : 11.58 WIB
3 Feb, 04:07;Evakuasi sarang tawon;https://www.lapor.go.id/laporan/detil/evakuasi-sarang-tawon-202502031107321738555652597;Evakuasi sarang tawonJl. Ratu Zaleha No.6  Rabu, 01 Januari 2025Pukul : 10.40 WIB
3 Feb, 04:03;Penanganan pohon nangka terkena kabel;https://www.lapor.go.id/laporan/detil/penanganan-pohon-nangka-terkena-kabel-202502031103511738555431439;Penanganan pohon nangka terkena kabel : Jl. Manunggal IV Mimggu, 22 Desember 2024Pukul : 09.40 WIB
3 Feb, 04:02;Penanganan pohon;https://www.lapor.go.id/laporan/detil/penanganan-pohon-202502031102181738555338434;Penanganan pohon PeJl. Pelatuk II, Tjilik Riwut Km.2,5anganan pohon Senin, 30 Desember 2024Pukul : 09.22 WIB
3 Feb, 03:59;Memerlukan Ambulance untuk Pengantaran Pasien;https://www.lapor.go.id/laporan/detil/memerlukan-ambulance-untuk-pengantaran-pasien-202502031059421738555182113;Memerlukan Ambulance untuk Pengantaran Pasien Jl. Jalak VI No 064 Selasa, 31 Desember 2024Pukul : 07.27 WIB
3 Feb, 03:57;Evakuasi Sarang Tawon;https://www.lapor.go.id/laporan/detil/evakuasi-sarang-tawon-202502031057541738555074067;Evakuasi Sarang Tawon Jl. Garuda V gang 4 No.22 Senin, 30 Desember 2024Pukul : 09.54 WIB
3 Feb, 03:55;Penanganan pohon nangka terkena kabel;https://www.lapor.go.id/laporan/detil/penanganan-pohon-nangka-terkena-kabel-202502031055561738554956620;Penanganan pohon nangka terkena kabel Jl. Bakti 1 Senin, 30 Desember 2024Pukul : 09.22 WIB
3 Feb, 03:54;Evakuasi Cincin;https://www.lapor.go.id/laporan/detil/evakuasi-cincin-202502031054061738554846732;Evakuasi Cincin Jl. Diponegoro Dinas Pemadam Kebakaran dan Penyelematan Kota Palangka Raya
3 Feb, 03:51;Penanganan pohon nangka terkena kabel;https://www.lapor.go.id/laporan/detil/penanganan-pohon-nangka-terkena-kabel-202502031051451738554705161;Penanganan pohon   terkena kabel Jl. Manunggal IV
3 Feb, 03:50;Evakuasi anjing liar memasuki toko warga;https://www.lapor.go.id/laporan/detil/evakuasi-anjing-liar-memasuki-toko-warga-202502031050241738554624660;Evakuasi anjing liar memasuki toko warga  Evakuasi anjing liar memasuki toko warga
